Designator,Mid X,Mid Y,Rotation,Layer
SW4_5,232,-118,90,top
SW4_4,116,-42,90,top
SW4_3,174,-118,90,top
SW4_2,58,-194,90,top
SW4,58,-118,90,top
SW5_12,58,-54,90,top
SW5_11,174,-130,90,top
SW5_10,174,-54,90,top
SW5_9,58,-130,90,top
SW5_8,116,-206,90,top
SW5_7,58,-206,90,top
SW5_6,232,-130,90,top
SW5_5,116,-130,90,top
SW5_4,232,-54,90,top
SW5_3,174,-206,90,top
SW5_2,116,-54,90,top
SW5,232,-206,90,top
SW6_12,116,-218,90,top
SW6_11,174,-142,90,top
SW6_10,232,-66,90,top
SW6_9,116,-66,90,top
SW6_8,116,-142,90,top
SW6_7,58,-142,90,top
SW6_6,232,-218,90,top
SW6_5,58,-66,90,top
SW6_4,174,-66,90,top
SW6_3,232,-142,90,top
SW6_2,58,-218,90,top
SW6,174,-218,90,top
SW7_12,221,-164,180,top
SW7_11,105,-164,180,top
SW7_10,221,-88,180,top
SW7_9,47,-164,180,top
SW7_8,47,-12,180,top
SW7_7,163,-88,180,top
SW7_6,47,-88,180,top
SW7_5,105,-12,180,top
SW7_4,221,-12,180,top
SW7_3,105,-88,180,top
SW7_2,163,-12,180,top
SW7,163,-164,180,top
U1_12,34.365,-110.205,180,top
U1_11,92.365,-186.205,180,top
U1_10,208.365,-110.205,180,top
U1_9,208.365,-34.205,180,top
U1_8,92.365,-34.205,180,top
U1_7,208.365,-186.205,180,top
U1_6,150.365,-110.205,180,top
U1_5,150.365,-34.205,180,top
U1_4,34.365,-34.205,180,top
U1_3,150.365,-186.205,180,top
U1_2,92.365,-110.205,180,top
U1,34.365,-186.205,180,top
U2_12,34.365,-45,180,top
U2_11,208.365,-45,180,top
U2_10,92.365,-121,180,top
U2_9,150.365,-197,180,top
U2_8,34.365,-121,180,top
U2_7,208.365,-121,180,top
U2_6,150.365,-45,180,top
U2_5,34.365,-197,180,top
U2_4,92.365,-45,180,top
U2_3,92.365,-197,180,top
U2_2,208.365,-197,180,top
U2,150.365,-121,180,top
U3_12,92.365,-56.43,180,top
U3_11,92.365,-132.43,180,top
U3_10,34.365,-56.43,180,top
U3_9,150.365,-208.43,180,top
U3_8,150.365,-56.43,180,top
U3_7,92.365,-208.43,180,top
U3_6,208.365,-132.43,180,top
U3_5,150.365,-132.43,180,top
U3_4,208.365,-56.43,180,top
U3_3,34.365,-132.43,180,top
U3_2,34.365,-208.43,180,top
